HSCODE,DESCRIPTION,CD,RD,SD,VAT,AIT,AT,FIXED
1012100,Pure-bred breeding animals of horses..,5,0,0,0,5,0,10
1012900,Other horses,5,0,0,0,5,0,10
1013000,Asses,5,0,0,0,5,0,10
1019000,"LIVE HORSES,ASSES,MULES AND HINNIES,NES",5,0,0,0,5,0,10
1022100,Pure-bred breeding animals of cattle,0,0,0,0,0,0,-
1022900,Other cattle,0,0,0,0,0,0,-
1023100,Pure-bred breeding animals of buffalo,0,0,0,0,0,0,-
1023900,Other buffalo,0,0,0,0,0,0,-
1029010,Other pure-bred breeding animals,0,0,0,0,0,0,-
1029090,Other live bovine animal,0,0,0,0,0,0,-
1031000,Live Pure-Bred Breeding Swine,5,0,0,0,5,0,10
1039100,Live Swine Weighing <50kg (Excl. Pure-Bred Breeding),5,0,0,0,5,0,10
1039200,Live Swine Weighing >=50kg (Excl. Pure-Bred Breeding),5,0,0,0,5,0,10
1041000,Live sheep,5,0,0,0,5,0,10
1042000,Live Goats,5,0,0,0,5,0,10
1051110,Fowls Of The Species Gallus Domestic(Parent Stock One Day Chick),0,0,0,0,0,0,-
1051190,"Live Fowls Gallus,Domesticus<=185g, Excl.Parent Stock Of One Day Chick",25,3,0,0,5,0,33
1051210,"Live Turkeys Weighing <=185g, (Parent Stock Of One Day Chick)",0,0,0,0,0,0,-
1051290,"Live Turkeys Weighing <=185g, (Excl.Parent Stock Of One Day Chick)",25,3,0,0,5,0,33
1051310,Parent stock of one day chick of ducks,0,0,0,0,0,0,-
1051390,Other ducks,25,3,0,0,5,0,33
1051410,Parent stock of one day chick of geese,0,0,0,0,0,0,-
1051490,Other Geese,25,3,0,0,5,0,33
1051510,Parent stock of one day chick of guinea fowls,0,0,0,0,0,0,-
1051590,Other fowls,25,3,0,0,5,0,33
1059400,Fowls of the species Gallus domesticus,25,3,0,0,5,0,33
1059900,"Live Ducks, Geese, Turkeys And Guinea Fowls Weighing >185g",25,3,0,0,5,0,33
1061100,"MAMMALS, PRIMATES",5,0,0,0,5,0,10
1061200,"WHALES,DOLPHINS &...;SEALS,SEA LIONS & WALRUSES(MAMMALS OF THE SUBORDER",5,0,0,0,5,0,10
1061300,Camels and other camelids ( Camelidae),5,0,0,0,5,0,10
1061400,Rabbits and hares,5,0,0,0,5,0,10
1061900,"MAMMALS, NES",5,0,0,0,5,0,10
1062000,REPTILES (INCLUDING SNAKES AND TURTLES),5,0,0,0,5,0,10
1063100,BIRDS OF PREY,25,3,0,0,5,0,33
1063200,"PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS)",25,3,0,0,5,0,33
1063300,Ostriches; emus ( Dromaius novaehollandiae),25,3,0,0,5,0,33
1063900,OTHER BIRDS,25,3,0,0,5,0,33
1064100,Bees,0,0,0,0,5,0,5
1064900,Other Insects,5,0,0,0,5,0,10
1069000,"OTHER LIVE ANIMALS, NES",5,0,0,0,5,0,10
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
2011010,"Fresh Or Chilled Bovine Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2011090,"Fresh Or Chilled Bovine Carcasses And Half Carcasses, Nes",25,3,10,0,5,0,45.8
2012010,"Fresh Or Chilled,Other Cuts Of Bovine Meat With Bone In, Wrapped/Canned upto 2.5",25,3,10,15,5,5,73.96
2012090,"Fresh Or Chilled,Other Cuts Of Bovine Meat With Bone In, Nes",25,3,10,0,5,0,45.8
2013010,"Fresh Or Chilled Boneless Bovine Meat, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2013090,"Fresh Or Chilled Boneless Bovine Meat, Nes",25,3,10,0,5,0,45.8
2021010,"Frozen Bovine Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2021090,"Frozen Bovine Carcasses And Half Carcasses, Nes",25,3,10,0,5,0,45.8
2022010,"Frozen Other Cuts Of Bovine Meat With Bone In, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2022090,"Frozen, Other Cuts Of Bovin Meat With Bone In, Nes",25,3,10,0,5,0,45.8
2023010,"Frozen Boneless Bovine Meat, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2023090,"Frozen Boneless Bovine Meat, Nes",25,3,10,0,5,0,45.8
2031110,"Fresh Or Chilled Swine Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,3,0,15,5,5,58.6
2031190,"Fresh Or Chilled Swine Carcasses And Half Carcasses, Nes",25,3,0,0,5,0,33
2031210,"Fresh Or Chilled Hams,Shoulders&Cuts Thereof,With Bone In, Wrapped/Canned upto",25,3,0,15,5,5,58.6
2031290,"Fresh/Chilled Hams,Shoulders & Cuts Thereof,With Bone In, Nes",25,3,0,0,5,0,33
2031910,"Fresh Or Chilled Swine Meat, Nes, Wrapped/Canned upto 2.5 kg",25,3,0,15,5,5,58.6
2031990,"Fresh Or Chilled Swine Meat, Nes",25,3,0,0,5,0,33
2032110,"Frozen Swine Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,3,0,15,5,5,58.6
2032190,"Frozen Swine Carcasses And Half Carcasses, Nes",25,3,0,0,5,0,33
2032210,"Frozen Hams,Shoulders & Cuts Thereof,With Bone In, Wrapped/Canned upto 2.5 kg",25,3,0,15,5,5,58.6
2032290,"Frozen Hams,Shoulders & Cuts Thereof Of Swine,With Bone In, Nes",25,3,0,0,5,0,33
2032910,"Frozen Swine Meat, Nes, Wrapped/Canned upto 2.5 kg",25,3,0,15,5,5,58.6
2032990,"Frozen Swine Meat, Nes",25,3,0,0,5,0,33
